row_number,trigger_phrase,suggested_status,when_not_to_use,correction_source
30,call me tomorrow,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
31,email didnt work,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
32,family will help,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
33,needs assistance,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
34,send information,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
35,sms not received,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
36,call in an hour,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
37,cannot open sms,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
38,get back online,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
39,get back to you,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
40,said he is busy,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Busy alone OK for CA; if newest also has refusal/cancel/not interested → Recall. Agent cb:vm is not a customer callback.,generated_from_data23_and_conversation|correct_audit_61|conflict_i_tag_backfill_2026-09-07
41,technical issue,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
42,busy right now,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
43,call next week,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If newest is hard money with no plan → No Potential. If newest is refusal → Recall. Agent-only dial notes do not qualify.,generated_from_data23_and_conversation|correct_audit_61|conflict_i_tag_backfill_2026-09-07
44,currently busy,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,ai_output|conflict_i_when_not_to_use_2026-09-07
45,put me on hold,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
46,will try later,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
47,arrange later,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
48,call around 5,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
49,call at night,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
50,call me after,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If same newest talk has dont call / not interested / cancel → Recall wins.,generated_from_data23_and_conversation|correct_audit_61|conflict_i_tag_backfill_2026-09-07
51,call me later,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
52,cant open sms,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
53,i am busy now,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
54,son will come,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
55,will do later,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
56,after payday,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
57,after salary,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
58,call evening,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
59,call morning,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
60,line dropped,No Answer 1-5,"[skip:agent_cb] Do not upgrade to Call Again from agent redial notes alone (cb:vm, cb na, call again rej).",generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
61,salary later,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
62,send details,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
63,will ask son,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
64,cb tomorrow,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
65,call after,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
66,call later,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
67,needs time,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
68,send email,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
69,call at 5,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
70,send sms,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
71,cb tomr,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
72,asked someone to come my place to help me person to person,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
73,client said his son didnt come yet asked for a call,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
74,i will find the receipt and get back to you,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
75,client said his son will come,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
76,very low voice hello again hu,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
77,not responding well and said,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
78,client not responding well,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
79,said wait wait im occupied,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
80,someone else took call,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
81,waiting for govt call,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
82,paid 18k 2 days ago,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
83,cb on thursday,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
84,mumbled and hu,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
85,wasnt speaking,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
86,i need time,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
87,doesnt have phonpe,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If customer refuses or no payment can be made,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
88,asked deposit information,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If sufficient KYC and deposit intent clearly completed, AI can upgrade to Potential",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
89,asks account questions,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If sufficient KYC and deposit intent clearly completed, AI can upgrade to Potential",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
90,completed registration,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If sufficient KYC and deposit intent clearly completed, AI can upgrade to Potential",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
91,wants more information,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If sufficient KYC and deposit intent clearly completed, AI can upgrade to Potential",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
92,complete registration,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If sufficient KYC and deposit intent clearly completed, AI can upgrade to Potential",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
93,understood everything,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If sufficient KYC and deposit intent clearly completed, AI can upgrade to Potential",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
94,accepted explanation,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If sufficient KYC and deposit intent clearly completed, AI can upgrade to Potential",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
95,asked how to deposit,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If sufficient KYC and deposit intent clearly completed, AI can upgrade to Potential",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
96,on the deposit page,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If sufficient KYC and deposit intent clearly completed, AI can upgrade to Potential",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
97,opened deposit page,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If sufficient KYC and deposit intent clearly completed, AI can upgrade to Potential",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
98,asked how it works,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If sufficient KYC and deposit intent clearly completed, AI can upgrade to Potential",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
99,asked how to start,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If sufficient KYC and deposit intent clearly completed, AI can upgrade to Potential",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
100,arranging deposit,Call Again,"[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] If sufficient KYC and deposit intent clearly completed, AI can upgrade to Potential",generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
